date,bitcoin,ethereum,cardano,doge,bcash,stellar,chainlink,biance,little,monero,bat,tether,tesla,tsmc,nvidia,intel,amd,qualcom
8/27/2020,11323.39746,382.632629,0.106824,0.003203,264.58432,0.093917,14.497711,23.080753,56.041016,89.539352,0.326421,1.002206,447.75,80.599998,505.130005,49.400002,83.800003,116.019997
8/28/2020,11542.5,395.874664,0.109453,0.003268,268.914703,0.095819,15.156061,23.133812,57.354404,94.359978,0.350677,1.002036,442.679993,80.440002,525.909973,50.43,85.550003,118.199997
8/31/2020,11680.82031,435.079742,0.122688,0.003221,274.543182,0.097311,15.708488,23.19305,61.113796,93.347473,0.349826,1.003191,498.320007,79.25,534.97998,50.950001,90.82,119.099998
9/1/2020,11970.47852,477.05191,0.125411,0.003256,292.719788,0.099379,16.121492,24.822096,62.88279,97.135849,0.336539,1.003957,475.049988,81.550003,552.840027,50.790001,92.18,122.010002
9/2/2020,11414.03418,440.040497,0.115613,0.003122,264.118622,0.09265,14.897397,24.690363,58.099648,91.081741,0.316723,1.001828,447.369995,82.169998,573.859985,52.25,90.220001,123.18
9/3/2020,10245.29688,385.671936,0.096154,0.002802,216.062408,0.079447,12.016678,20.619886,47.774113,77.981133,0.254748,1.005495,407,81.18,520.619995,50.389999,82.540001,116.43
9/4/2020,10511.81348,388.24115,0.102445,0.002899,231.874603,0.081452,12.492866,21.056107,50.611977,82.348129,0.267217,1.003686,418.320007,78.910004,504.899994,50.080002,82.010002,115.970001
9/8/2020,10131.5166,337.602112,0.091011,0.002756,222.536987,0.077537,11.785032,23.190248,47.383801,83.902222,0.251243,1.001025,330.209991,77.32,476.519989,48.91,78.690002,109.769997
9/9/2020,10242.34766,351.110016,0.093349,0.002779,224.676956,0.078626,12.377293,24.530291,47.897697,84.380806,0.25757,1.002102,366.279999,79.400002,508.600006,49.619999,81.910004,114.019997
9/10/2020,10363.13867,368.101898,0.097156,0.002805,227.713486,0.081324,12.551313,24.559889,48.716854,83.46209,0.265465,1.001457,371.339996,78.900002,492.470001,48.959999,78.980003,112.440002
9/11/2020,10400.91504,374.695587,0.096989,0.002806,225.53772,0.083808,12.501497,25.451414,49.089752,88.388794,0.26408,1.001517,372.720001,78.82,486.579987,49.279999,76.339996,113.419998
9/14/2020,10680.83789,377.26886,0.096769,0.002803,226.264236,0.080452,12.119579,31.178642,49.090122,92.65136,0.2563,1.001289,419.619995,80.5,514.890015,49.41,77.900002,113.459999
9/15/2020,10796.95117,364.839203,0.093496,0.002832,235.629379,0.078256,10.978154,27.202391,48.390099,91.123253,0.246435,1.002487,449.76001,85.849998,519.640015,50,78.93,116.580002
9/16/2020,10974.90527,365.812286,0.09165,0.002826,231.771515,0.080199,10.761816,27.964594,47.933434,86.605865,0.251996,1.003444,441.76001,83.129997,500.579987,50.369999,76.660004,114.559998
9/17/2020,10948.99023,389.019226,0.094217,0.002814,233.167465,0.080424,10.98888,26.99313,48.877068,92.426918,0.250438,1.001878,423.429993,81.910004,498.540009,50.32,76.550003,114.879997
9/18/2020,10944.58594,384.364532,0.091081,0.002804,234.208633,0.078461,10.081642,27.399481,48.462814,92.299278,0.243576,0.999502,442.149994,80.230003,487.570007,49.889999,74.93,110.690002
9/21/2020,10462.25977,341.786072,0.080428,0.00263,213.515656,0.070703,8.759941,23.267879,43.390221,88.952469,0.214767,1.003263,449.390015,80.589996,500.690002,49.720001,77.940002,111.919998
9/22/2020,10538.45996,344.503174,0.081754,0.002656,220.034225,0.071987,8.764185,24.10074,44.545048,92.954674,0.228298,1.001444,424.230011,80.480003,505.51001,49.950001,77.699997,113.82
9/23/2020,10225.86426,320.585541,0.07683,0.002564,208.165131,0.067778,7.68582,22.872679,43.042057,87.806969,0.21332,1.002652,380.359985,77.919998,484.950012,48.82,74.730003,110.57
9/24/2020,10745.54883,349.356659,0.082895,0.002644,216.693863,0.070631,9.833251,24.622034,44.961006,92.772064,0.226524,1.002381,387.790009,78.379997,493.920013,49.16,75.82,112.190002
9/25/2020,10702.29004,352.161865,0.096909,0.002706,216.659714,0.074668,10.715445,24.678379,46.008736,90.754372,0.232288,1.002644,407.339996,78.879997,514.950012,49.939999,78.059998,114.5
9/28/2020,10721.32715,354.9505,0.100696,0.002658,226.351013,0.073706,10.317588,26.984694,45.270672,92.660835,0.23459,1.002695,421.200012,79.769997,521.400024,51.43,79.480003,118.470001
9/29/2020,10848.83008,359.963409,0.101136,0.002681,229.235947,0.074425,10.111197,28.852825,45.698059,98.187347,0.236925,1.001193,419.070007,80.510002,529.030029,51.189999,81.769997,117.379997
9/30/2020,10787.61816,360.022369,0.101146,0.002642,228.100922,0.07497,9.857671,29.330982,46.284039,106.420135,0.238939,1.002569,429.01001,81.07,541.219971,51.779999,81.989998,117.68
10/1/2020,10623.33008,353.231293,0.097878,0.002615,228.157867,0.073404,9.647449,27.470755,46.283146,102.308464,0.230338,0.999962,448.160004,82.620003,544.580017,52.240002,84.860001,119.519997
10/2/2020,10585.16406,346.532654,0.092913,0.002584,220.188232,0.071269,9.23312,27.32098,44.979713,100.334419,0.22425,1.001953,415.089996,80.800003,522.48999,51.009998,81.800003,115.470001
10/5/2020,10804.00098,354.2771,0.097687,0.002627,222.385849,0.073556,9.646209,28.658798,46.379387,110.697578,0.221655,1.001419,425.679993,84.540001,545.700012,51.689999,86.150002,120.519997
10/6/2020,10621.66406,341.021149,0.092909,0.00261,220.443756,0.072645,8.78058,27.767237,46.023781,106.808151,0.210762,1.001835,413.980011,83.120003,549.460022,51.369999,84.480003,119.540001
10/7/2020,10679.13672,342.119781,0.093936,0.0026,223.555847,0.072596,8.982042,27.758896,46.674709,110.771271,0.215074,1.000901,425.299988,86.919998,558.559998,52.669998,86.690002,123.029999
10/8/2020,10923.62793,351.455658,0.096242,0.002603,233.944672,0.07332,9.547591,27.749296,47.238403,111.223724,0.217546,1.001632,425.920013,87.800003,553.549988,53.369999,86.510002,122.339996
