Date,TWH
2015-06-27,2.18921
2015-06-28,2.22482
2015-06-29,2.19481
2015-06-30,2.20383
2015-07-01,2.15651
2015-07-02,2.1589
2015-07-03,2.17206
2015-07-04,2.22008
2015-07-05,2.22176
2015-07-06,2.31028
2015-07-07,2.28653
2015-07-08,2.34267
2015-07-09,2.29733
2015-07-10,2.28221
2015-07-11,2.27555
2015-07-12,2.27032
2015-07-13,2.2099
2015-07-14,2.24202
2015-07-15,2.23595
2015-07-16,2.24791
2015-07-17,2.24356
2015-07-18,2.25464
2015-07-19,2.29259
2015-07-20,2.31045
2015-07-21,2.2725
2015-07-22,2.27473
2015-07-23,2.28813
2015-07-24,2.33724
2015-07-25,2.35224
2015-07-26,2.34194
2015-07-27,2.33414
2015-07-28,2.36138
2015-07-29,2.3649
2015-07-30,2.35854
2015-07-31,2.32629
2015-08-01,2.33283
2015-08-02,2.34883
2015-08-03,2.36711
2015-08-04,2.36711
2015-08-05,2.32369
2015-08-06,2.34426
2015-08-07,2.31227
2015-08-08,2.32775
2015-08-09,2.3098
2015-08-10,2.33573
2015-08-11,2.39812
2015-08-12,2.38444
2015-08-13,2.39629
2015-08-14,2.41033
2015-08-15,2.35625
2015-08-16,2.34704
2015-08-17,2.30097
2015-08-18,2.2526
2015-08-19,2.3217
2015-08-20,2.32861
2015-08-21,2.38159
2015-08-22,2.44071
2015-08-23,2.44061
2015-08-24,2.46958
2015-08-25,2.46495
2015-08-26,2.48742
2015-08-27,2.4668
2015-08-28,2.45431
2015-08-29,2.45905
2015-08-30,2.49699
2015-08-31,2.50174
2015-09-01,2.54679
2015-09-02,2.47212
2015-09-03,2.42748
2015-09-04,2.3691
2015-09-05,2.28589
2015-09-06,2.22035
2015-09-07,2.15433
2015-09-08,2.06318
2015-09-09,2.05631
2015-09-10,2.12063
2015-09-11,2.12982
2015-09-12,2.10564
2015-09-13,2.11975
2015-09-14,2.11975
2015-09-15,2.16811
2015-09-16,2.154
2015-09-17,2.10187
2015-09-18,2.09207
2015-09-19,2.08243
2015-09-20,2.04686
2015-09-21,2.01766
2015-09-22,2.02482
2015-09-23,2.07035
2015-09-24,2.0718
2015-09-25,2.10748
2015-09-26,2.15366
2015-09-27,2.19774
2015-09-28,2.22083
2015-09-29,2.25652
2015-09-30,2.23552
2015-10-01,2.25818
2015-10-02,2.21082
2015-10-03,2.2142
2015-10-04,2.2306
2015-10-05,2.25959
2015-10-06,2.19984
2015-10-07,2.17531
2015-10-08,2.15997
2015-10-09,2.13416
2015-10-10,2.16643
2015-10-11,2.15137
2015-10-12,2.1277
2015-10-13,2.11694
2015-10-14,2.15782
2015-10-15,2.21398
2015-10-16,2.25306
2015-10-17,2.20177
2015-10-18,2.19998
2015-10-19,2.24987
2015-10-20,2.23083
2015-10-21,2.21398
2015-10-22,2.1754
2015-10-23,2.18617
2015-10-24,2.20556
2015-10-25,2.22709
2015-10-26,2.22494
2015-10-27,2.26586
2015-10-28,2.2551
2015-10-29,2.268
2015-10-30,2.32368
2015-10-31,2.33511
2015-11-01,2.33822
2015-11-02,2.32194
2015-11-03,2.34669
2015-11-04,2.38866
2015-11-05,2.37852
2015-11-06,2.32126
2015-11-07,2.33227
2015-11-08,2.30144
2015-11-09,2.29263
2015-11-10,2.27281
2015-11-11,2.31365
2015-11-12,2.36715
2015-11-13,2.42053
2015-11-14,2.41657
2015-11-15,2.48316
2015-11-16,2.55801
2015-11-17,2.58357
2015-11-18,2.55778
2015-11-19,2.49954
2015-11-20,2.51585
2015-11-21,2.59039
2015-11-22,2.61834
2015-11-23,2.59505
2015-11-24,2.64686
2015-11-25,2.67121
2015-11-26,2.80719
2015-11-27,2.76033
2015-11-28,2.7512
2015-11-29,2.73385
2015-11-30,2.77092
2015-12-01,2.80165
2015-12-02,2.8351
2015-12-03,2.74763
2015-12-04,2.79908
2015-12-05,2.85311
2015-12-06,2.88087
2015-12-07,2.87545
2015-12-08,2.93553
2015-12-09,2.99145
2015-12-10,3.23058
2015-12-11,3.2847
2015-12-12,3.28782
2015-12-13,3.2741
2015-12-14,3.40842
2015-12-15,3.43081
2015-12-16,3.41682
2015-12-17,3.24611
2015-12-18,3.28551
2015-12-19,3.3512
2015-12-20,3.4993
2015-12-21,3.4462
2015-12-22,3.42998
2015-12-23,3.49287
2015-12-24,3.51534
2015-12-25,3.56376
2015-12-26,3.61004
2015-12-27,3.74228
2015-12-28,3.74889
2015-12-29,3.77864
2015-12-30,3.80509
2015-12-31,3.84894
2016-01-01,3.8095
2016-01-02,3.77706
2016-01-03,3.63222
2016-01-04,3.79819
2016-01-05,3.84952
2016-01-06,3.82221
2016-01-07,3.86236
2016-01-08,4.002
2016-01-09,4.02405
2016-01-10,4.1343
2016-01-11,4.09388
2016-01-12,4.14165
2016-01-13,4.20257
2016-01-14,4.19569
2016-01-15,4.04916
2016-01-16,4.06368
2016-01-17,4.02609
2016-01-18,4.0951
2016-01-19,4.0037
2016-01-20,4.03415
2016-01-21,4.05019
2016-01-22,4.26674
2016-01-23,4.41511
2016-01-24,4.49531
2016-01-25,4.4512
2016-01-26,4.57838
2016-01-27,4.62703
2016-01-28,4.69762
2016-01-29,4.70948
2016-01-30,4.78574
2016-01-31,4.86861
2016-02-01,4.90264
2016-02-02,5.00647
2016-02-03,5.10839
2016-02-04,5.20181
2016-02-05,5.28249
2016-02-06,5.33769
2016-02-07,5.44766
2016-02-08,5.51855
2016-02-09,5.65152
2016-02-10,5.72755
2016-02-11,5.99304
2016-02-12,6.06654
2016-02-13,6.01261
2016-02-14,5.98037
2016-02-15,6.00076
2016-02-16,5.80702
2016-02-17,5.76114
2016-02-18,5.64388
2016-02-19,5.5593
2016-02-20,5.63152
2016-02-21,5.52552
2016-02-22,5.48511
2016-02-23,5.56813
2016-02-24,5.46037
2016-02-25,5.49524
2016-02-26,5.51773
2016-02-27,5.50038
2016-02-28,5.53508
2016-02-29,5.56978
2016-03-01,5.5987
2016-03-02,5.82427
2016-03-03,5.70859
2016-03-04,5.79356
2016-03-05,5.78403
2016-03-06,5.83849
2016-03-07,5.81466
2016-03-08,5.86226
2016-03-09,5.89578
2016-03-10,5.98369
2016-03-11,5.98573
2016-03-12,5.9521
2016-03-13,5.86803
2016-03-14,5.97452
2016-03-15,6.01375
2016-03-16,5.92408
2016-03-17,5.84562
2016-03-18,5.73136
2016-03-19,5.72054
2016-03-20,5.82992
2016-03-21,5.79182
2016-03-22,5.75597
2016-03-23,5.77642
2016-03-24,5.84682
2016-03-25,5.91912
2016-03-26,6.01865
2016-03-27,5.98938
2016-03-28,6.17087
2016-03-29,6.22356
2016-03-30,6.21186
2016-03-31,6.0772
2016-04-01,6.12398
2016-04-02,6.04867
2016-04-03,6.06133
2016-04-04,6.04587
2016-04-05,6.04159
2016-04-06,6.10766
2016-04-07,6.20214
2016-04-08,6.15055
2016-04-09,6.28631
2016-04-10,6.4693
2016-04-11,6.39256
2016-04-12,6.35124
2016-04-13,6.39256
2016-04-14,6.58657
2016-04-15,6.61521
2016-04-16,6.53129
2016-04-17,6.50885
2016-04-18,6.45277
2016-04-19,6.52733
2016-04-20,6.60227
2016-04-21,6.54227
2016-04-22,6.56755
2016-04-23,6.60548
2016-04-24,6.44113
2016-04-25,6.39689
2016-04-26,6.40321
2016-04-27,6.17565
2016-04-28,6.07445
2016-04-29,6.16916
2016-04-30,6.1817
2016-05-01,6.32698
2016-05-02,6.51651
2016-05-03,6.51641
2016-05-04,6.75649
2016-05-05,6.88287
2016-05-06,6.90815
2016-05-07,6.93343
2016-05-08,7.0156
2016-05-09,7.10408
2016-05-10,7.14833
2016-05-11,6.99192
2016-05-12,6.96748
2016-05-13,6.98814
2016-05-14,7.02966
2016-05-15,6.92306
2016-05-16,6.81124
2016-05-17,6.78159
2016-05-18,6.93393
2016-05-19,6.80336
2016-05-20,6.78274
2016-05-21,6.76212
2016-05-22,7.07137
2016-05-23,7.33938
2016-05-24,7.38419
2016-05-25,7.3058
2016-05-26,7.43303
2016-05-27,7.38918
2016-05-28,7.358
2016-05-29,7.13003
2016-05-30,6.9084
2016-05-31,6.7901
2016-06-01,6.82535
2016-06-02,6.59145
2016-06-03,6.35016
2016-06-04,6.0315
2016-06-05,5.87948
2016-06-06,5.7486
2016-06-07,5.58151
2016-06-08,5.31113
2016-06-09,5.43761
2016-06-10,5.43579
2016-06-11,5.61506
2016-06-12,5.4778
2016-06-13,5.41732
2016-06-14,5.36449
2016-06-15,5.4045
2016-06-16,5.32262
2016-06-17,5.34821
2016-06-18,5.35844
2016-06-19,5.5171
2016-06-20,5.53245
2016-06-21,5.66105
2016-06-22,5.58844
2016-06-23,5.59132
2016-06-24,5.53405
2016-06-25,5.61115
2016-06-26,5.50354
2016-06-27,5.46792
2016-06-28,5.47294
2016-06-29,5.56589
2016-06-30,5.62056
2016-07-01,5.76272
2016-07-02,5.69164
2016-07-03,5.73538
2016-07-04,5.75818
2016-07-05,5.75671
2016-07-06,5.73832
2016-07-07,5.68136
2016-07-08,5.64162
2016-07-09,5.65696
2016-07-10,5.68397
2016-07-11,5.65403
2016-07-12,5.64289
2016-07-13,5.58161
2016-07-14,5.60389
2016-07-15,5.54819
2016-07-16,5.59275
2016-07-17,5.55376
2016-07-18,5.58164
2016-07-19,5.49839
2016-07-20,5.61574
2016-07-21,5.3846
2016-07-22,5.17022
2016-07-23,4.84163
2016-07-24,4.52842
2016-07-25,4.24993
2016-07-26,4.07423
2016-07-27,3.77176
2016-07-28,3.78426
2016-07-29,3.85928
2016-07-30,3.80927
2016-07-31,3.9343
2016-08-01,4.02599
2016-08-02,4.12112
2016-08-03,4.24191
2016-08-04,4.27811
2016-08-05,4.33154
2016-08-06,4.48983
2016-08-07,4.43131
2016-08-08,4.37696
2016-08-09,4.23291
2016-08-10,4.17379
2016-08-11,4.16196
2016-08-12,4.08314
2016-08-13,4.07132
2016-08-14,4.13043
2016-08-15,4.1286
2016-08-16,4.21275
2016-08-17,4.13957
2016-08-18,4.20188
2016-08-19,4.26813
2016-08-20,4.28345
2016-08-21,4.33271
2016-08-22,4.42172
2016-08-23,4.47264
2016-08-24,4.5957
2016-08-25,4.49386
2016-08-26,4.4005
2016-08-27,4.35382
2016-08-28,4.30714
2016-08-29,4.27238
2016-08-30,4.35535
2016-08-31,4.28781
2016-09-01,4.33948
2016-09-02,4.43869
2016-09-03,4.37062
2016-09-04,4.49701
2016-09-05,4.46462
2016-09-06,4.34396
2016-09-07,4.42153
2016-09-08,4.43877
2016-09-09,4.39136
2016-09-10,4.51634
2016-09-11,4.4517
2016-09-12,4.5635
2016-09-13,4.70483
2016-09-14,4.73753
2016-09-15,4.79588
2016-09-16,4.79673
2016-09-17,4.84736
2016-09-18,4.77985
2016-09-19,4.65106
2016-09-20,4.58934
2016-09-21,4.63343
2016-09-22,4.57612
2016-09-23,4.56289
2016-09-24,4.57612
2016-09-25,4.78612
2016-09-26,4.92027
2016-09-27,5.041
2016-09-28,5.00612
2016-09-29,5.05791
2016-09-30,5.12704
2016-10-01,5.13454
2016-10-02,4.94928
2016-10-03,4.93986
2016-10-04,4.89748
2016-10-05,4.98695
2016-10-06,5.07171
2016-10-07,5.07642
2016-10-08,5.16535
2016-10-09,5.30884
2016-10-10,5.22356
2016-10-11,5.18102
2016-10-12,5.12133
2016-10-13,5.00915
2016-10-14,5.0221
2016-10-15,4.91049
2016-10-16,4.75908
2016-10-17,4.76413
2016-10-18,4.84488
2016-10-19,4.74899
2016-10-20,4.77927
2016-10-21,4.92058
2016-10-22,4.95255
2016-10-23,5.00942
2016-10-24,5.08657
2016-10-25,4.99252
2016-10-26,5.04491
2016-10-27,5.17071
2016-10-28,5.0956
2016-10-29,5.08468
2016-10-30,5.20351
2016-10-31,5.22331
2016-11-01,5.24806
2016-11-02,5.22331
2016-11-03,5.18865
