date,bitcoin,doge,stellar,little,monero,tether,tesla,tsmc,nvidia,intel,amd,qualcom
2/4/2016,389.593994,0.000287,0.001803,3.16277,0.507164,1,35.066002,23.23,28.209999,29.77,2.09,45.66
2/5/2016,386.549011,0.000305,0.001834,3.13741,0.496352,1,32.52,22.75,26.43,29.040001,1.98,44.02
2/8/2016,373.446991,0.000287,0.001841,3.06216,0.481636,1,29.598,22.799999,25.219999,28.82,1.93,43.889999
2/9/2016,376.028992,0.000292,0.001826,3.08155,0.46485,1,29.65,22.559999,25.49,28.809999,1.9,43.610001
2/10/2016,381.648987,0.000298,0.001849,3.09525,0.480424,1,28.733999,22.299999,25.43,28.23,1.84,42.959999
2/11/2016,379.653992,0.00029,0.001878,3.07562,0.516381,1,30.094,22,25.299999,28.219999,1.86,43
2/12/2016,384.263,0.000301,0.002344,3.11187,0.612499,1,30.208,22.24,25.73,28.639999,1.83,44.560001
2/16/2016,407.488007,0.000292,0.002649,3.20901,0.935744,1.00001,31.034,23.34,26.99,28.780001,1.83,46.73
2/17/2016,416.321991,0.000278,0.002158,3.24103,0.733156,1,33.736,23.639999,27.66,29.469999,1.9,48.41
2/18/2016,422.372986,0.000278,0.002122,3.25143,0.774533,1,33.354,23.799999,30.040001,29.42,1.91,49.080002
2/19/2016,420.785004,0.000297,0.00211,3.25279,0.819088,1,33.316002,23.780001,30.440001,28.709999,1.91,49.419998
2/22/2016,437.747986,0.000283,0.001976,3.48363,0.77803,1,35.548,23.959999,31.52,29.35,2.01,51.279999
2/23/2016,420.735992,0.00028,0.001903,3.39693,0.756528,1,35.442001,23.4,31.6,28.799999,1.97,50.419998
2/24/2016,424.954987,0.000278,0.001959,3.37487,0.801251,0.999844,35.799999,23.42,31.82,29.190001,2.02,51.52
2/25/2016,424.544006,0.000269,0.001975,3.36552,0.806427,1,37.486,23.690001,31.889999,29.620001,2.03,51.639999
2/26/2016,432.152008,0.000259,0.001943,3.41679,0.813595,1,38.068001,23.77,31.68,29.799999,2.07,51.619999
2/29/2016,437.696991,0.00025,0.001949,3.44611,0.870503,1.00002,38.386002,23.549999,31.360001,29.59,2.14,50.790001
