Date,bitcoin,ethereum,cardano,doge,bitcoin.cash,stellar,chainlink,biance,little,monero,bat,tether,tesla,tsmc,nvidia,intel,amd,qualcom
1/8/2018,15170.09961,1148.530029,0.899002,0.015045,2421.469971,0.629323,1.3773,18.2609,255.763,405.074005,0.848184,1.00932,67.281998,42.439999,222,44.740002,12.28,66.269997
1/9/2018,14595.40039,1299.73999,0.814743,0.01342,2391.560059,0.585653,1.22828,17.4118,247.037003,413.334015,0.891962,1.00599,66.737999,42.18,221.940002,43.619999,11.82,65.269997
1/10/2018,14973.29981,1255.819946,0.793121,0.013102,2895.379883,0.56693,1.18871,17.3908,250.518005,407.740997,0.802175,1.00128,66.959999,41.299999,223.679993,42.5,11.96,65.260002
1/11/2018,13405.79981,1154.930054,0.688412,0.011469,2462.610107,0.558126,1.01033,21.0427,229.365997,355.59201,0.653207,1.00171,67.589996,41.029999,224.080002,43.41,12.14,65.43
1/12/2018,13980.59961,1273.199951,0.897508,0.013056,2620.98999,0.67796,1.05156,22.316299,236.856003,394.78299,0.74205,1.00608,67.244003,41.189999,222.979996,43.240002,12.02,65.379997
1/16/2018,11490.5,1053.689941,0.626493,0.006822,1772.069946,0.441197,0.756453,13.8919,188.330994,320.036987,0.483813,1.03415,68.012001,42.23,220.110001,43.139999,11.91,68.25
1/17/2018,11188.59961,1014.25,0.629102,0.007648,1748.050049,0.477187,0.698634,14.2032,186.516006,319.186005,0.58824,1.01453,69.431999,43.130001,224.720001,44.389999,12.18,68.019997
1/18/2018,11474.90039,1036.280029,0.659843,0.007969,1756.75,0.509523,0.74423,14.2804,192.837006,316.467987,0.591967,1.02311,68.914001,44.57,224.440002,44.48,12.47,68.050003
1/19/2018,11607.40039,1039.099976,0.650498,0.007871,1769.619995,0.506232,0.812905,14.9406,192.964005,364.621002,0.593371,1.00454,70.003998,44.669998,230.110001,44.82,12.59,68.040001
1/22/2018,10931.40039,1003.26001,0.570458,0.006734,1621.920044,0.486338,0.802858,13.0146,180.007996,315.89801,0.511591,1.00504,70.311996,46.380001,233.690002,45.75,12.65,68.669998
1/23/2018,10868.40039,986.229004,0.56307,0.006673,1621.459961,0.486185,0.801917,13.0935,177.807007,308.460999,0.578114,1.00505,70.557999,46.279999,238.910004,46.060001,12.94,68.339996
1/24/2018,11359.40039,1058.780029,0.622208,0.007083,1639.130005,0.567014,0.792863,13.6287,179.987,317.399994,0.543128,0.997484,69.178001,45.330002,235.800003,45.509998,12.71,67.980003
1/25/2018,11259.40039,1056.030029,0.637495,0.007667,1642.119995,0.608253,0.760437,13.2284,180.272003,317.102997,0.555015,0.999595,67.528,45.099998,236.350006,45.299999,12.41,67.419998
1/26/2018,11171.40039,1055.170044,0.623382,0.007237,1603.900024,0.633916,0.709853,13.2182,176.733994,323.684998,0.558874,1.00414,68.57,45.720001,243.330002,50.080002,12.95,68.529999
1/29/2018,11296.40039,1182.359985,0.623204,0.006967,1657.140015,0.589283,0.697712,12.7645,181.664001,316.627991,0.607161,0.995319,69.905998,45.400002,246.850006,49.98,13.32,67.32
1/30/2018,10106.29981,1071.130005,0.531913,0.006024,1470.550049,0.489648,0.596778,11.2507,165.276001,274.015991,0.509349,0.986486,69.164001,44.880001,242.720001,48.790001,12.87,66.989998
1/31/2018,10221.09961,1118.310059,0.519315,0.00601,1486.890015,0.539797,0.620146,11.145,163.350998,272.889008,0.517065,0.990274,70.862,45.310001,245.800003,48.139999,13.74,68.25
2/1/2018,9170.540039,1036.790039,0.421672,0.005029,1274.349976,0.456455,0.520347,9.51584,142.296997,240.964996,0.462054,0.986939,69.849998,45.450001,240.5,47.650002,13.25,66.800003
2/2/2018,8830.75,915.784973,0.390534,0.004475,1191.140015,0.405075,0.494574,9.65229,131.378998,235.630005,0.416206,0.990747,68.75,44.509998,233.520004,46.150002,12.45,66.07
2/5/2018,6955.27002,697.950989,0.327371,0.003533,887.413025,0.331192,0.341506,6.70503,125.330002,179.487,0.295087,0.996308,66.625999,42.950001,213.699997,44.52,11.57,61.73
2/6/2018,7754,793.122009,0.369753,0.004361,974.525024,0.370811,0.425248,8.28885,142.990997,212.289001,0.357246,1.01009,66.793999,43.59,225.580002,44.91,11.65,64.400002
2/7/2018,7621.299805,757.067993,0.340447,0.004297,957.960022,0.342125,0.376771,8.09501,138.203003,207.274994,0.340785,1.0014,69,41.880001,228.800003,45.200001,11.6,65.040001
2/8/2018,8265.589844,817.807007,0.356584,0.004566,1284.560059,0.363565,0.41108,8.5955,149.466003,247.223999,0.372876,1.01891,63.046001,40.360001,217.520004,42.75,11.22,62.419998
2/9/2018,8736.980469,883.86499,0.391602,0.005,1312.109985,0.401068,0.435194,9.73046,163.949997,260.433014,0.387052,1.00211,62.084,41.470001,232.080002,43.950001,11.31,63.990002
