Date,bitcoin,ethereum,cardano,doge,bitcoin-cash,stellar,chainlink,biance,little,monero,bat,tether
20/9/2015,231.212006,0.938445,0,0.000126,0,0.002223,0,0,2.84644,0.485971,0,1
21/9/2015,227.085007,0.919047,0,0.00013,0,0.002142,0,0,2.79913,0.480452,0,1
22/9/2015,230.617996,0.901796,0,0.000126,0,0.002138,0,0,2.84465,0.471829,0,1
23/9/2015,230.283005,0.893406,0,0.000124,0,0.002082,0,0,2.86555,0.464606,0,1
24/9/2015,234.529007,0.81361,0,0.000124,0,0.002058,0,0,2.92998,0.468678,0,1
25/9/2015,235.143997,0.736223,0,0.000122,0,0.002056,0,0,2.89286,0.451515,0,1
26/9/2015,234.339996,0.785964,0,0.000123,0,0.002071,0,0,2.88688,0.445105,0,1
27/9/2015,232.757004,0.720839,0,0.000122,0,0.002067,0,0,2.87116,0.43771,0,1
28/9/2015,239.141998,0.582886,0,0.000124,0,0.002091,0,0,3.0728,0.448998,0,1
29/9/2015,236.686996,0.661146,0,0.000121,0,0.002055,0,0,2.96999,0.435817,0,1
30/9/2015,236.059998,0.738644,0,0.000123,0,0.001985,0,0,3.00978,0.399882,0,1
1/10/2015,237.548996,0.690215,0,0.000122,0,0.002224,0,0,3.00192,0.404696,0,1
2/10/2015,237.292999,0.678574,0,0.000123,0,0.002076,0,0,2.9932,0.409897,0,1
3/10/2015,238.729996,0.687171,0,0.000121,0,0.002013,0,0,3.03008,0.409928,0,1
4/10/2015,238.259003,0.668379,0,0.000118,0,0.002051,0,0,3.01436,0.400312,0,1
5/10/2015,240.382996,0.628643,0,0.000117,0,0.001989,0,0,3.01599,0.416151,0,1
6/10/2015,246.063004,0.650645,0,0.000121,0,0.002077,0,0,3.14593,0.411378,0,1
7/10/2015,242.968994,0.609388,0,0.000121,0,0.002075,0,0,3.05858,0.393186,0,1
8/10/2015,242.304001,0.621716,0,0.000119,0,0.001996,0,0,3.06403,0.387872,0,1
9/10/2015,243.931,0.650628,0,0.000119,0,0.002121,0,0,3.10797,0.397329,0,1
10/10/2015,244.940994,0.627857,0,0.000119,0,0.002084,0,0,3.10599,0.387789,0,1
11/10/2015,247.050003,0.634963,0,0.00012,0,0.00211,0,0,3.14504,0.380724,0,1
12/10/2015,245.307999,0.62603,0,0.000119,0,0.002031,0,0,3.1372,0.395317,0,1
13/10/2015,249.507996,0.607655,0,0.000121,0,0.002101,0,0,3.17974,0.388015,0,1
14/10/2015,251.988998,0.522968,0,0.00012,0,0.001915,0,0,3.14418,0.384266,0,1
15/10/2015,254.320007,0.561878,0,0.00012,0,0.001934,0,0,3.10489,0.390841,0,1
16/10/2015,262.868988,0.536495,0,0.000121,0,0.001936,0,0,3.10735,0.411511,0,1
17/10/2015,270.640015,0.547178,0,0.000121,0,0.001986,0,0,3.07154,0.426942,0,1
18/10/2015,261.643005,0.517734,0,0.000119,0,0.001972,0,0,3.02279,0.409797,0,1
19/10/2015,263.437012,0.489014,0,0.000119,0,0.001933,0,0,3.04797,0.403212,0,1
20/10/2015,269.463013,0.434829,0,0.000118,0,0.00187,0,0,3.0926,0.399646,0,1
21/10/2015,266.272003,0.447329,0,0.000117,0,0.001975,0,0,3.07515,0.394597,0,1
22/10/2015,274.02301,0.567702,0,0.000118,0,0.001957,0,0,3.11465,0.403236,0,1
23/10/2015,276.496002,0.539657,0,0.000115,0,0.001956,0,0,3.11154,0.393922,0,1
24/10/2015,281.653992,0.56359,0,0.000114,0,0.001923,0,0,3.09986,0.395808,0,1
25/10/2015,283.679993,0.616039,0,0.000116,0,0.001886,0,0,3.06579,0.407067,0,1
26/10/2015,285.299988,0.731317,0,0.000116,0,0.00186,0,0,3.10443,0.38796,0,1
27/10/2015,293.787994,0.869641,0,0.000118,0,0.001997,0,0,3.09455,0.409574,0,1
28/10/2015,304.618011,1.00248,0,0.000126,0,0.00202,0,0,3.10077,0.448829,0,1
29/10/2015,313.855011,1.20666,0,0.000141,0,0.002069,0,0,3.78221,0.447103,0,1
30/10/2015,328.015015,1.04122,0,0.000151,0,0.002184,0,0,4.06168,0.456442,0,1
31/10/2015,314.165985,0.916627,0,0.000137,0,0.00216,0,0,3.80433,0.404538,0,1
1/11/2015,325.431,1.05567,0,0.000141,0,0.002128,0,0,3.9593,0.423505,0,1
2/11/2015,361.188995,0.989789,0,0.000147,0,0.00219,0,0,4.1649,0.442886,0,1
3/11/2015,403.416992,1.01336,0,0.000156,0,0.002189,0,0,4.5898,0.442707,0,1
4/11/2015,411.562988,0.89905,0,0.000149,0,0.00218,0,0,4.23022,0.505869,0,1
5/11/2015,386.354004,0.895637,0,0.000146,0,0.002012,0,0,3.96164,0.43253,0,1
6/11/2015,374.470001,0.926032,0,0.000141,0,0.001917,0,0,3.54801,0.439195,0,1
7/11/2015,386.481995,0.927974,0,0.000145,0,0.002015,0,0,3.59887,0.452638,0,1
8/11/2015,373.368011,1.02747,0,0.000136,0,0.001943,0,0,3.41907,0.497654,0,1
9/11/2015,380.256989,0.999278,0,0.000135,0,0.002033,0,0,3.39662,0.472776,0,1
10/11/2015,336.819,0.934348,0,0.000123,0,0.002039,0,0,3.11515,0.460954,0,1
11/11/2015,311.084015,0.791829,0,0.000125,0,0.001964,0,0,2.96939,0.450299,0,1
12/11/2015,338.152008,0.895711,0,0.00013,0,0.002124,0,0,3.2787,0.443275,0,1
13/11/2015,336.752991,0.904096,0,0.00013,0,0.001974,0,0,3.22599,0.452619,0,1
14/11/2015,332.906006,0.888812,0,0.00013,0,0.001981,0,0,3.19461,0.424853,0,1
15/11/2015,320.165985,0.906368,0,0.000125,0,0.001988,0,0,3.0658,0.43081,0,1
16/11/2015,330.751007,0.928962,0,0.000131,0,0.001922,0,0,3.18945,0.435954,0,1
17/11/2015,335.093994,1.00798,0,0.000133,0,0.002015,0,0,3.20198,0.428999,0,1
18/11/2015,334.589996,0.993319,0,0.000135,0,0.001909,0,0,3.18551,0.415567,0,1
19/11/2015,326.148987,0.955532,0,0.00013,0,0.00193,0,0,3.13361,0.407052,0,1
20/11/2015,322.022003,0.92492,0,0.000131,0,0.001895,0,0,3.11557,0.389316,0,1
21/11/2015,326.927002,0.97614,0,0.000131,0,0.00191,0,0,3.15027,0.391906,0,1
22/11/2015,324.536011,0.968018,0,0.000128,0,0.001972,0,0,3.13683,0.395824,0,1
23/11/2015,323.04599,0.946969,0,0.00013,0,0.0019,0,0,3.1241,0.391113,0,1
24/11/2015,320.04599,0.900191,0,0.000128,0,0.001867,0,0,3.10783,0.390148,0,1
25/11/2015,328.205994,0.863537,0,0.00013,0,0.001908,0,0,3.34444,0.387684,0,1
26/11/2015,352.68399,0.884183,0,0.000132,0,0.00192,0,0,3.60834,0.404663,0,1
27/11/2015,358.041992,0.867951,0,0.000133,0,0.001766,0,0,3.57861,0.386268,0,1
