date,ethereum,stellar,chainlink,monero,tsmc,nvidia,amd
6/8/2018,601.077026,0.287963,0.293531,158.701004,38.93,262.279999,15.25
6/11/2018,533.283997,0.256482,0.262975,138.042007,38.759998,260.619995,15.73
6/12/2018,496.842987,0.231689,0.228636,125.655998,39.200001,262.579987,15.85
6/13/2018,477.493988,0.221691,0.214526,121.851997,39.049999,262.399994,16.32
6/14/2018,519.742004,0.242426,0.239964,132.940002,38.599998,266.910004,16.25
6/15/2018,491.003998,0.234242,0.223557,122.776001,38.689999,265.26001,16.34
6/18/2018,518.890991,0.234371,0.21008,127.427002,38.25,265.089996,17.110001
6/19/2018,537.95697,0.235309,0.220765,126.220001,37.560001,260.170013,16.690001
6/20/2018,536.268005,0.232188,0.225581,122.546997,38.349998,262.309998,16.52
6/21/2018,527.367004,0.227997,0.212881,123.612999,37.619999,257.109985,15.65
6/22/2018,465.816986,0.203407,0.186089,110.601997,38.119999,250.949997,15.8
6/25/2018,460.309998,0.197753,0.179697,126.761002,36.509998,239.119995,15.11
6/26/2018,432.772003,0.186484,0.170771,120.817001,36.459999,241.990005,15.5
6/27/2018,442.36499,0.189633,0.171995,128.710007,35.509998,235.720001,14.97
6/28/2018,422.36499,0.178951,0.166278,115.810997,35.939999,240.860001,15.31
6/29/2018,436.009003,0.18671,0.181072,126.778,36.560001,236.899994,14.99
7/2/2018,475.346985,0.213151,0.249,140.501007,36.540001,242.240005,15.16
7/3/2018,464.195007,0.206315,0.236518,138.460999,36.389999,236.839996,15
7/5/2018,474.411987,0.202978,0.218494,138.753998,36.59,242.729996,15.5
7/6/2018,474.011993,0.206381,0.229949,134.044998,37.27,247.330002,16.360001
7/9/2018,476.682007,0.207929,0.235216,135.733002,37.830002,249.25,16.610001
7/10/2018,434.424011,0.191889,0.211167,121.478996,37.93,253.25,16.549999
7/11/2018,446.518005,0.189504,0.206735,125.387001,36.970001,247.529999,16.27
7/12/2018,430.074005,0.185719,0.204594,120.238998,37.310001,251.229996,16.559999
7/13/2018,434.027008,0.204272,0.200695,122.529999,37.77,249.320007,16.27
7/16/2018,480.65799,0.237928,0.222559,135.274994,37.790001,248.199997,16.58
7/17/2018,501.002014,0.252967,0.248674,144.070999,38.040001,253.690002,16.870001
7/18/2018,480.513,0.2984,0.23978,139.766006,38.41,251.699997,16.85
7/19/2018,469.618988,0.302513,0.229673,139.533997,39.810001,252.029999,16.709999
7/20/2018,450.697998,0.271492,0.21645,130.171997,40.73,250.889999,16.5
7/23/2018,450.852997,0.284384,0.19705,133.574997,40.740002,249.410004,16.66
7/24/2018,479.372986,0.301456,0.202624,147.399002,40.389999,248.710007,16.190001
7/25/2018,472.493011,0.331706,0.243708,142.735992,40.889999,251.869995,16.049999
7/26/2018,464.036987,0.309552,0.251831,136.813995,40.82,254.839996,18.35
7/27/2018,469.665985,0.316882,0.26684,140.063995,41.450001,252.020004,18.940001
7/30/2018,457.080994,0.295923,0.318274,131.802002,41.09,244.130005,19.42
7/31/2018,433.867004,0.278009,0.293934,122.318001,41.209999,244.860001,18.33
8/1/2018,420.747009,0.276268,0.28728,128.154007,41.709999,246.470001,18.48
8/2/2018,412.621002,0.261192,0.30958,122.792999,41.549999,250.619995,18.790001
8/3/2018,418.261993,0.258956,0.284746,120.018997,41.689999,252.100006,18.49
8/6/2018,406.65799,0.234705,0.236471,113.544998,41.07,254.029999,19.43
8/7/2018,380.214996,0.230672,0.233997,108.039001,41.240002,256.950012,19.559999
8/8/2018,356.613007,0.201351,0.22804,94.534103,41.970001,258.420013,19.58
8/9/2018,365.588013,0.221435,0.276128,100.532997,41.84,256.459991,19.1
8/10/2018,334.175995,0.22543,0.274727,91.721497,41.029999,254.789993,19.059999
8/13/2018,286.494995,0.223559,0.259292,88.237198,40.709999,256.119995,19.73
8/14/2018,278.932007,0.216706,0.27191,84.178703,40.91,261.429993,20.02
8/15/2018,282.364014,0.216954,0.257547,89.5485,40.450001,259.079987,19.700001
8/16/2018,288.04599,0.216032,0.268244,91.078499,40.41,257.440002,19.33
8/17/2018,315.729004,0.23812,0.291827,99.202202,40.130001,244.820007,19.77
8/20/2018,274.315002,0.216457,0.287262,93.374802,40.099998,247.839996,19.98
8/21/2018,281.944,0.214708,0.311927,94.915802,40.889999,253.320007,20.4
8/22/2018,271.341003,0.206896,0.314632,90.080597,40.900002,262.820007,20.9
8/23/2018,277.104004,0.222162,0.321022,90.062897,40.68,266.839996,22.290001
8/24/2018,282.96701,0.219806,0.336927,93.761101,41.240002,272.220001,23.98
8/27/2018,285.602997,0.225437,0.336085,104.528999,41.529999,275.899994,25.26
8/28/2018,296.498993,0.234745,0.335793,107.523003,42.349998,274.380005,25.049999
8/29/2018,289.312012,0.226211,0.30871,103.554001,44.130001,278.48999,25.200001
8/30/2018,284.105011,0.220902,0.30539,102.814003,43.459999,277.809998,24.889999
8/31/2018,283.003998,0.222076,0.328099,116.657997,43.599998,280.679993,25.17
9/4/2018,285.722992,0.231268,0.29972,137.951004,44.110001,283.700012,28.059999
9/5/2018,232.330994,0.207437,0.268699,115.064003,44.220001,278.420013,28.51
9/6/2018,230.214996,0.207484,0.27239,117.489998,44.049999,272.720001,27.84
9/7/2018,217.203003,0.207662,0.260662,111.879997,44.880001,271.859985,27.379999
9/10/2018,197.078995,0.190839,0.247807,105.643997,44.619999,274.730011,29.889999
9/11/2018,185.065994,0.201071,0.260429,105.644997,44.549999,272.799988,30.1
9/12/2018,183.330994,0.198293,0.253495,104.322998,43.939999,268.200012,32.209999
9/13/2018,211.354004,0.207806,0.271776,112.035004,43.43,271.339996,30.48
9/14/2018,211.748993,0.201743,0.268898,116.967003,44.41,276.429993,32.720001
9/17/2018,197.875,0.196827,0.268721,107.193001,43.759998,273.929993,32.43
9/18/2018,209.975006,0.208417,0.291212,112.447998,43.560001,271.019989,31.93
9/19/2018,209.968994,0.206563,0.329173,109.514,44.02,271.980011,31.209999
9/20/2018,224.591003,0.231897,0.358403,116.278,44.169998,266.279999,31.18
9/21/2018,246.584,0.249211,0.353303,123.737999,44.060001,263.450012,31.02
9/24/2018,228.729996,0.259048,0.334657,115.480003,44.889999,265.700012,32.610001
9/25/2018,218.505005,0.252306,0.326493,116.402,44.169998,268.410004,32.57
9/26/2018,215.847,0.244767,0.348924,115.593002,44.27,266.920013,32.189999
9/27/2018,228.494003,0.259216,0.34559,119.254997,44.759998,267.399994,32.59
9/28/2018,222.401993,0.254127,0.334983,117.055,44.16,281.019989,30.889999
10/1/2018,230.768005,0.258404,0.325232,114.521004,44.66,289.359985,31.42
10/2/2018,227.181,0.248286,0.321105,116.828003,43.619999,286.480011,29.02
10/3/2018,220.488998,0.241136,0.310338,114.684998,43.959999,286.730011,28.43
10/4/2018,222.218002,0.244278,0.32094,114.533997,42.43,279.290009,27.780001
10/5/2018,227.600998,0.245192,0.356504,114.876999,41.630001,269.859985,27.35
10/8/2018,229.255005,0.249009,0.343585,114.275002,40.959999,265.769989,26.459999
10/9/2018,227.981995,0.243915,0.339712,113.674004,40.900002,265.540009,27.24
10/10/2018,225.768997,0.241593,0.347861,113.459,39.349998,245.690002,25
10/11/2018,189.498993,0.207037,0.303201,100.384003,38.939999,235.130005,25.299999
10/12/2018,196.727005,0.216032,0.311278,100.709,39.66,246.539993,26.34
10/15/2018,209.703995,0.223001,0.339638,107.109001,38.75,235.380005,26.26
10/16/2018,210.119995,0.227978,0.358845,107.394997,40.009998,245.830002,28.18
10/17/2018,207.082993,0.240403,0.376968,105.362,39.57,243.059998,27.299999
10/18/2018,203.352005,0.239452,0.376913,102.913002,38.540001,239.529999,26.620001
10/19/2018,203.727005,0.242853,0.361977,103.723,38.450001,229.169998,23.66
10/22/2018,204.044006,0.242361,0.390431,105.459999,38.720001,231.220001,25.030001
10/23/2018,204.335999,0.242215,0.437883,108.442001,38,221.059998,25.09
10/24/2018,203.852005,0.23776,0.412075,106.949997,36.48,199.410004,22.790001
10/25/2018,202.718994,0.235646,0.437743,106.321999,37.389999,207.839996,19.27
10/26/2018,203.328995,0.234011,0.432123,105.017998,36.669998,198.289993,17.629999
10/29/2018,197.246994,0.222357,0.418148,101.487999,36.330002,185.619995,16.85
10/30/2018,197.556,0.225093,0.45041,102.553001,37.779999,203,17.200001
10/31/2018,197.380997,0.223471,0.506044,103.834,38.099998,210.830002,18.209999
11/1/2018,198.871994,0.222945,0.514022,103.880997,39.049999,218.110001,20.219999
11/2/2018,200.634995,0.234244,0.500783,105.779999,38.779999,214.919998,20.23
11/5/2018,209.091003,0.246529,0.481368,111.345001,38.48,211.770004,19.9
11/6/2018,218.451996,0.265596,0.484115,112.893997,38.73,211.059998,20.68
11/7/2018,217.182999,0.256718,0.482141,111.513,39.18,213.789993,21.84
11/8/2018,212.231003,0.256043,0.497974,108.427002,38.700001,205.990005,21.200001
11/9/2018,210.074005,0.255542,0.492477,106.892998,38.07,205.669998,21.030001
11/12/2018,210.417999,0.267326,0.562799,105.139,37.060001,189.539993,19.030001
11/13/2018,206.826004,0.257787,0.581442,105.112999,37.400002,199.309998,19.610001
11/14/2018,181.397003,0.233043,0.547843,90.758202,37.84,197.190002,20.809999
