date,bitcoin,doge,little,tsmc,nvidia,intel,qualcom
1/19/2016,380.148987,0.000148,3.01744,21.66,27.33,29.799999,46.09
1/20/2016,420.230011,0.000168,3.38853,21.09,27.48,29.59,45.93
1/21/2016,410.261993,0.000163,3.22078,21.33,27.799999,29.66,47.049999
1/22/2016,382.492004,0.000168,3.07657,21.93,28.450001,29.93,48.07
1/25/2016,391.726013,0.000212,3.12728,21.790001,28.42,29.6,47.580002
1/26/2016,392.153015,0.000356,3.15482,21.59,28.700001,29.940001,48.52
1/27/2016,394.971985,0.000455,3.28745,21.68,28.360001,29.809999,47.529999
1/28/2016,380.289001,0.000344,3.12016,21.629999,28.049999,29.969999,43.59
1/29/2016,379.473999,0.000316,3.11138,22.35,29.290001,31.02,45.34
2/1/2016,373.056,0.00027,3.07724,22.459999,29.299999,30.82,46.110001
2/2/2016,374.447998,0.000262,3.07587,22.559999,28.059999,29.799999,43.150002
2/3/2016,369.949005,0.000265,3.04753,22.92,28.200001,29.34,44.73
2/4/2016,389.593994,0.000287,3.16277,23.23,28.209999,29.77,45.66
2/5/2016,386.549011,0.000305,3.13741,22.75,26.43,29.040001,44.02
2/8/2016,373.446991,0.000287,3.06216,22.799999,25.219999,28.82,43.889999
2/9/2016,376.028992,0.000292,3.08155,22.559999,25.49,28.809999,43.610001
2/10/2016,381.648987,0.000298,3.09525,22.299999,25.43,28.23,42.959999
2/11/2016,379.653992,0.00029,3.07562,22,25.299999,28.219999,43
2/12/2016,384.263,0.000301,3.11187,22.24,25.73,28.639999,44.560001
2/16/2016,407.488007,0.000292,3.20901,23.34,26.99,28.780001,46.73
2/17/2016,416.321991,0.000278,3.24103,23.639999,27.66,29.469999,48.41
2/18/2016,422.372986,0.000278,3.25143,23.799999,30.040001,29.42,49.080002
2/19/2016,420.785004,0.000297,3.25279,23.780001,30.440001,28.709999,49.419998
2/22/2016,437.747986,0.000283,3.48363,23.959999,31.52,29.35,51.279999
2/23/2016,420.735992,0.00028,3.39693,23.4,31.6,28.799999,50.419998
2/24/2016,424.954987,0.000278,3.37487,23.42,31.82,29.190001,51.52
2/25/2016,424.544006,0.000269,3.36552,23.690001,31.889999,29.620001,51.639999
2/26/2016,432.152008,0.000259,3.41679,23.77,31.68,29.799999,51.619999
2/29/2016,437.696991,0.00025,3.44611,23.549999,31.360001,29.59,50.790001
3/1/2016,435.122986,0.000249,3.43297,24.58,32.75,30.370001,52.110001
3/2/2016,423.989014,0.000244,3.36502,24.620001,32.939999,30.540001,52.849998
3/3/2016,421.651001,0.000245,3.32353,24.559999,32.650002,30.58,52.380001
3/4/2016,410.938995,0.000238,3.25023,24.65,32.549999,30.629999,52.66
3/7/2016,414.321014,0.000233,3.26775,24.700001,32.34,30.940001,53.299999
3/8/2016,413.971985,0.00022,3.25422,24.65,31.75,30.559999,52.459999
3/9/2016,414.859985,0.00023,3.27985,24.74,31.73,30.870001,51.950001
3/10/2016,417.131012,0.000241,3.28755,24.74,31.68,31.25,52.02
3/11/2016,421.690002,0.000241,3.3847,25.35,32.220001,31.76,52.220001
3/14/2016,416.437988,0.000238,3.30352,25.219999,32.299999,31.43,52.09
3/15/2016,416.829987,0.000231,3.30578,24.879999,32.139999,31.65,51.630001
