date,bitcoin,bcash,biance,little,tesla,tsmc,amd,qualcom
2/26/2021,46339.76172,484.512238,221.680435,170.398148,675.5,125.940002,84.510002,136.190002
3/1/2021,49631.24219,500.951385,254.629929,175.2379,718.429993,129.130005,86.389999,139.490005
3/2/2021,48378.98828,517.01416,239.522537,177.872437,686.440002,126,84.129997,137.039993
3/3/2021,50538.24219,523.578674,241.09137,188.525665,653.200012,122.889999,80.860001,131.660004
3/4/2021,48561.16797,506.87326,229.945068,181.078644,621.440002,115.589996,77.75,127.800003
3/5/2021,48927.30469,498.989807,226.372559,180.76561,597.950012,120.800003,78.519997,129.75
3/8/2021,52246.52344,528.996887,240.318665,191.927689,563,113.93,73.959999,123.199997
3/9/2021,54824.11719,545.026001,293.463226,203.637863,673.580017,116.379997,78.529999,129.110001
3/10/2021,56008.55078,546.8396,279.358032,200.516861,668.059998,113.830002,77.519997,127.870003
3/11/2021,57805.12109,549.783203,289.790802,201.250336,699.599976,120.580002,81.230003,131.740005
3/12/2021,57332.08984,539.216492,263.685822,220.829407,693.72998,118.300003,81.050003,129.979996
3/15/2021,55907.19922,523.934753,254.660828,201.264618,707.940002,119.080002,82.5,131.639999
3/16/2021,56804.90234,528.164001,258.100677,201.040634,676.880005,119.349998,82.75,133.649994
3/17/2021,58870.89453,540.84552,269.854858,206.067932,701.809998,118.760002,82.629997,133.919998
3/18/2021,57858.92188,529.757385,261.704803,200.537308,653.159973,114.5,78.120003,129.75
3/19/2021,58346.65234,535.141235,264.057434,201.063721,654.869995,113.629997,79.059998,131.020004
3/22/2021,54529.14453,513.339233,255.900192,187.077835,670,117.18,80.300003,134.089996
3/23/2021,54738.94531,516.253174,255.689667,187.393967,662.159973,114.889999,78.379997,132.520004
3/24/2021,52774.26563,480.123322,249.851379,177.654953,630.27002,108.959999,76.480003,127.18
3/25/2021,51704.16016,478.292206,234.885437,173.061188,640.390015,110.449997,76.220001,127.279999
3/26/2021,55137.3125,509.015289,255.104568,184.278671,618.710022,116.559998,77.410004,132.990005
3/29/2021,57750.19922,520.635803,275.21463,194.474777,611.289978,114.389999,77.139999,131.270004
3/30/2021,58917.69141,527.698242,311.426483,196.682098,635.619995,115.07,76,130.110001
3/31/2021,58918.83203,543.237854,302.063446,197.4991,667.929993,118.279999,78.5,132.589996
4/1/2021,59095.80859,561.658264,335.212891,204.112518,661.75,124.800003,81.089996,137.789993
4/5/2021,59057.87891,648.560974,367.772491,221.069046,691.049988,124.5,81.43,140.330002
4/6/2021,58192.35938,667.748596,403.590759,237.664902,691.619995,122.440002,81.440002,138.059998
4/7/2021,56048.9375,618.597534,374.658813,219.423676,670.969971,119.889999,82.199997,139.429993
4/8/2021,58323.95313,647.564087,418.038391,227.003021,683.799988,123.43,83.349998,140.339996
4/9/2021,58245.00391,635.706726,453.178467,221.862366,677.02002,122.800003,82.760002,140.570007
4/12/2021,59893.45313,674.786255,598.722656,244.49437,701.97998,120.900002,78.580002,137.440002
4/13/2021,63503.45703,746.865356,549.586548,266.981476,762.320007,121.269997,80.190002,137.300003
4/14/2021,63109.69531,818.70343,549.591858,279.748413,732.22998,120.839996,78.550003,134.75
4/15/2021,63314.01172,868.155518,542.63208,286.590607,738.849976,118.349998,83.010002,137.839996
4/16/2021,61572.78906,1110.654297,510.220184,310.612732,739.780029,118.839996,82.150002,138.210007
4/19/2021,55724.26563,894.128723,505.092926,261.91922,714.630005,115.400002,81.110001,135.25
4/20/2021,56473.03125,940.986938,587.029114,260.941345,718.98999,114.949997,79.269997,133.399994
4/21/2021,53906.08984,913.905762,546.02356,258.805603,744.119995,117.400002,81.610001,136.190002
4/22/2021,51762.27344,854.077942,506.013,253.078354,719.690002,115.32,79.059998,132.970001
4/23/2021,51093.65234,838.847229,526.565247,241.35878,729.400024,118.639999,82.760002,135.429993
4/26/2021,54021.75391,849.470093,534.577698,247.40593,738.200012,121.519997,85.410004,138.960007
4/27/2021,55033.11719,887.862549,568.47052,259.652283,704.73999,121.269997,85.209999,138.009995
4/28/2021,54824.70313,909.845825,562.632568,258.505157,694.400024,119.660004,84.019997,136.570007
4/29/2021,53555.10938,880.665344,599.706543,255.585266,677,119.099998,83.910004,142.679993
4/30/2021,57750.17578,993.425659,624.080566,271.167084,709.440002,116.739998,81.620003,138.800003
5/3/2021,57200.29297,1017.299988,675.684082,294.70401,684.900024,115.940002,78.550003,137.429993
5/4/2021,53333.53906,955.182434,611.200317,306.234497,673.599976,115.360001,78.610001,134.119995
5/5/2021,57424.00781,1454.935059,651.66272,356.037079,670.940002,115.379997,77.830002,134.649994
5/6/2021,56396.51563,1505.765747,633.280396,353.510345,663.539978,117,77.889999,136
5/7/2021,57356.40234,1343.247437,624.563293,346.253571,672.369995,116.830002,78.809998,137.850006
5/10/2021,55859.79688,1321.401123,631.35199,359.329315,629.039978,112.309998,75.989998,128.940002
5/11/2021,56704.57422,1542.425049,672.333923,377.388794,617.200012,112.849998,76.830002,128.369995
5/12/2021,49150.53516,1209.806885,588.185181,303.084869,589.890015,108.209999,74.639999,124.620003
5/13/2021,49716.19141,1251.692139,571.434509,316.909332,571.690002,108.75,73.089996,127.110001
5/14/2021,49880.53516,1298.664795,603.128296,326.233856,589.73999,112.459999,74.589996,130.149994
5/17/2021,43537.51172,1068.65686,511.964386,281.769318,576.830017,109.800003,74.650002,129.800003
5/18/2021,42909.40234,1091.550171,508.022308,294.619324,577.869995,110.839996,74.440002,128.910004
5/19/2021,37002.44141,706.795837,339.025482,189.520172,563.460022,112.400002,76.230003,130.660004
5/20/2021,40782.73828,821.600525,393.612762,212.276138,586.780029,113.279999,78.059998,132.639999
5/21/2021,37304.69141,687.957153,326.296326,180.197037,580.880005,111.849998,77.169998,131.460007
5/24/2021,38705.98047,748.421692,345.309631,183.994125,606.440002,113.629997,77.440002,132.910004
5/25/2021,38402.22266,719.947815,344.113983,183.497894,604.690002,114.279999,77.860001,133.75
5/26/2021,39294.19922,765.048828,379.854309,199.224335,619.130005,116,78.339996,133.089996
5/27/2021,38436.96875,745.955078,367.655792,193.121094,630.849976,115.769997,78.419998,133.639999
5/28/2021,35697.60547,689.947876,329.879913,177.320663,625.219971,117.360001,80.080002,134.539993
6/1/2021,36684.92578,691.40387,362.794647,182.980698,623.900024,118.510002,80.809998,133.940002
6/2/2021,37575.17969,697.912964,401.262329,187.263977,605.119995,118.949997,81.970001,133.820007
6/3/2021,39208.76563,718.448181,427.807922,193.086182,572.840027,116.82,80.279999,131.779999
6/4/2021,36894.40625,671.13916,391.395325,178.872009,599.049988,119.510002,81.580002,134.339996
6/7/2021,33560.70703,596.077881,357.310211,161.732803,605.130005,118.220001,81.349998,133.320007
6/8/2021,33472.63281,597.092285,354.001373,161.161072,603.590027,115.919998,80.889999,134.199997
6/9/2021,37345.12109,633.143494,375.73468,172.138657,598.780029,117.129997,79.959999,132.889999
6/10/2021,36702.59766,602.84613,352.183197,168.203064,610.119995,118.239998,81.559998,134.220001
6/11/2021,37334.39844,578.271545,345.933685,162.880524,609.890015,118.25,81.309998,134.619995
6/14/2021,40218.47656,625.369507,368.792755,172.949097,617.690002,120.989998,81.550003,137.309998
6/15/2021,40406.26953,639.20459,373.566162,178.659424,599.359985,119.449997,80.470001,135.580002
6/16/2021,38347.0625,593.046631,347.033447,166.458939,604.869995,118.019997,80.110001,134.949997
6/17/2021,38053.50391,599.35791,352.738525,167.055695,616.599976,119.120003,84.559998,135.350006
6/18/2021,35787.24609,563.286804,336.809692,156.355637,623.309998,115.790001,84.650002,133
