bitcoin,ethereum,doge,monero,tesla,tsmc,nvidia
-0.166433805,0.015365668,-0.160839668,-0.127013909,-0.005788352,-0.03355394,-0.055948579
0.042500468,0.126850446,-0.006734032,0.242255087,-0.00131803,0.026194201,0.0080823
0.10023896,0.110631747,0.126751706,-0.019998835,-0.029846992,-0.026668247,0.005473467
-0.024006244,0.014098937,-0.030213779,0.026313304,0.00637113,0.011315538,0.011577517
-0.070088214,-0.034244092,0.030213779,-0.022768821,0.01281939,0.02774103,0.023112211
0.023854901,0.509687273,0.232622295,0.079371082,-0.030935137,-0.006404368,-0.001055073
0.001089459,-0.09341662,0.518344456,0.006221212,-0.01446399,-0.00922095,0.009804035
0.00716273,0.048104418,0.245366688,0.043303093,-0.028773413,0.004159932,-0.011917421
-0.037883346,0.0561445,-0.279655762,-0.081375439,0.00862967,-0.002308983,-0.010991141
-0.002145412,-0.012558291,-0.084899444,-0.08305098,0.007876202,0.032745127,0.043257599
-0.017057538,-0.120515768,-0.157320255,-0.039933982,0.029579061,0.004909584,0.000341287
0.003724394,0.098093558,-0.030077455,0.006156182,-0.07461587,0.004442478,-0.043242443
-0.012087764,0.035850895,0.011385322,-0.018254081,-0.052220954,0.01583151,0.004976974
0.051739984,0.019328038,0.07975239,0.030408553,0.010607679,0.013434655,0.000354476
-0.007846489,-0.015263056,0.060829561,-0.02154907,-0.075376772,-0.020879401,-0.065176761
-0.034482598,0.225048793,-0.060829561,-0.03009671,-0.094148493,0.002195347,-0.046862438
0.006890177,0.240577391,0.017271587,-0.035473869,0.001755334,-0.01058211,0.010648928
0.014835057,0.092419131,0.020339684,0.032954274,-0.03138107,-0.011591749,-0.002356639
-0.005241013,0.304128743,-0.027212564,0.072175818,0.046244761,-0.01354418,-0.005125223
0.012066923,-0.080686787,0.037229342,0.170702445,0.003780974,0.010850016,0.01685327
0.058684288,-0.251089106,-0.030356462,0.423794625,0.026976588,0.048276157,0.047808801
0.021447476,-0.138479884,-0.049132689,-0.243983432,0.083482139,0.012771523,0.024520899
0.014429799,0.157722149,0,0.054901764,-0.011387811,0.006745388,0.082542534
-0.003766753,0.074185095,0.066111025,0.055931259,-0.001139883,-0.000840605,0.013227706
0.039521346,0.170116805,-0.048285241,-0.051426442,0.064846074,0.007540798,0.034864699
-0.039637831,-0.005407633,-0.010657294,-0.028025539,-0.00298631,-0.023649709,0.002534856
0.009977711,0.110113256,-0.007168489,0.057434711,0.01005028,0.000854336,0.006937902
-0.000967585,-0.02133897,-0.032909734,0.006439123,0.046019664,0.011462702,0.002197427
0.017761731,-0.030456843,-0.037883318,0.00884932,0.015406531,0.003371221,-0.006606883
0.012749473,0.067785389,-0.035367144,0.067608506,0.008318801,-0.009298503,-0.01015234
-0.005898152,0.188783992,-0.004008021,-0.026195287,-0.029504148,0.042807326,0.043369735
-0.025921173,0.100798202,-0.020284671,-0.024306099,0.010622188,0.001626057,0.005784732
-0.005529584,0.093399083,0.004089985,0.27537233,0.038538409,-0.002440099,-0.008842777
-0.025733187,0.112997393,-0.028987537,0.008514033,0.026716671,0.003657838,-0.003067579
0.008196297,-0.085566054,-0.02123222,-0.025912053,0.020919696,0.002026384,-0.006472484
-0.000842767,0.030371657,-0.057410907,0.102252658,-0.013189997,-0.002026384,-0.018412129
0.002142775,0.189182152,0.044451763,0.046003484,0.029760025,0.003644466,-0.00063012
0.005459272,-0.051125213,0.046717625,-0.126464161,-0.017105999,0,-0.001577039
0.010870102,-0.019850749,0,0.002299124,0.011243721,0.024357363,0.016901842
-0.01253289,0.116535079,-0.01252626,0.017068021,0.036204096,-0.005141439,0.00247979
0.000940871,0.043788856,-0.029852963,0.024338131,0.014718022,-0.013573063,-0.00496587
0.000434133,-0.038319044,0,0.002959628,0.016308604,0.035534809,0.029431893
0.008619629,-0.122122197,-0.035245939,0.126018124,0.019852963,-0.000388012,-0.008495136
-0.026678073,-0.007554521,-0.064837519,-0.126314565,0.027706925,0.010422831,0.029718561
0.009136553,0.075794503,0.014252023,0.262719044,0.023692379,-0.004233256,0.00295331
0.011503627,-0.050946887,0.023311079,-0.071999021,-0.017268099,-0.004638625,-0.001771016
-0.000114824,0.096472194,-0.023311079,0.047247231,-0.051059666,-0.005049496,0.016989337
-0.003947522,-0.100008435,0.004705891,0.156717078,0.022961949,0.001945147,0.001451168
