sp500,citigroup,microsoft,apple,dowchemical,yahoo
-0.0332682693,-0.0317662444,-0.0583959481,-6.311328e-02,-0.0243377229,-0.034913229
-0.0484297099,-0.0627490595,-0.0328052726,-2.527902e-02,-0.0547322425,-0.050446593
-0.0001455654,-0.0091798486,-0.0294604100,5.994365e-03,-0.0240794044,0.013640212
0.0536918309,0.0469937283,0.0538720726,5.577048e-02,0.0412788673,0.02427757
0.0318995313,0.0219456409,0.0274812809,2.902136e-02,0.0602662978,0.035345743
0.0029349117,-0.0029985031,0.0006831020,3.271323e-03,0.0091324985,-0.016460046
0.0022619758,0.0037467450,-0.0093768387,-4.689226e-03,-0.0054695089,-0.027533002
-0.0429063491,-0.0486593026,-0.0398459369,-4.572641e-02,-0.0491786858,-0.020050859
0.0158285864,0.0157759825,0.0361626935,4.199468e-02,0.0173710433,0.005365328
0.0076180096,0.0007726679,0.0032235553,-1.769157e-02,0.0103263600,0.023947684
-0.0181885508,-0.0234431717,-0.0206719479,-1.001653e-02,-0.0176662231,-0.029946124
0.0142507278,0.0207363065,0.0295975209,2.744103e-02,0.0466603983,-0.021767825
-0.0206192848,-0.0150202959,-0.0188598191,-1.941980e-02,-0.0068274995,0.019866081
0.0071962195,0.0037273017,0.0050950079,2.173216e-02,-0.0006853931,-0.01180802
0.0023415215,0.0005872367,0.0043793625,1.446361e-02,0.0004569408,0.008948606
-0.0027552745,-0.0023510784,-0.0101711171,9.585280e-03,-0.0161181626,-0.03595529
0.0050912104,0.0198103196,0.0216050342,8.376933e-03,0.0122276034,0.023469167
0.0195711947,0.0112822690,0.0072496883,1.117412e-03,0.0309314344,0.011531165
0.0021510654,-0.0180357528,-0.0011292933,-2.162205e-02,-0.0170407157,-0.015081306
-0.0241958108,-0.0266839645,-0.0175543122,-4.134241e-03,-0.0207936260,-0.006161849
0.0097214333,0.0083168395,0.0143854801,1.539435e-02,0.0162605075,0.013891356
-0.0088962750,-0.0065288188,-0.0047721796,-1.583513e-02,-0.0095869714,-0.025013485
-0.0060672312,-0.0051741812,-0.0006836638,8.080126e-03,-0.0236724250,-0.021949667
0.0059298270,-0.0199502430,0.0009113927,5.930602e-03,-0.0021158994,-0.013541168
0.0068512178,0.0284930787,0.0006829465,-2.524937e-03,-0.0040090134,-0.007183236
-0.0086403253,-0.0305306105,-0.0149033383,-1.998743e-02,-0.0459065089,-0.053952764
0.0050835159,-0.0006120369,0.0034589524,-3.052160e-02,0.0134030713,0.023631605
0.0187352473,0.0123721486,0.0187006501,1.130579e-02,0.0443659983,0.022740179
-0.0039081198,0.0056281351,0.0078767691,-6.549063e-03,0.0135864837,0
